date,3D_printing,autonomous_cars,cloud_computing,drones,electric_cars,smartphones,solar_tech
1985-01-01,0,5.098204157585491e-5,0,4.333473533947667e-4,1.5294612472756472e-4,1.2745510393963727e-5,4.333473533947667e-4
1985-02-01,0,1.1853334738173006e-4,0,3.0291855441997684e-4,1.317037193130334e-4,0,3.1608892635128015e-4
1985-03-01,0,4.636713497472991e-5,0,2.7820280984837946e-4,6.955070246209486e-5,1.1591783743682478e-5,3.013863773357444e-4
1985-04-01,0,3.255208333333333e-5,0,3.0381944444444445e-4,9.765625e-5,1.0850694444444445e-5,4.0147569444444443e-4
1985-05-01,0,1.0402904490933868e-5,0,1.7684937634587577e-4,1.1443194940027255e-4,0,2.3926680329147898e-4
1985-06-01,0,6.144204479125065e-5,0,3.0721022395625326e-4,5.1201703992708875e-5,0,4.4033465433729633e-4
1985-07-01,0,6.405153403424012e-5,9.150219147748588e-6,2.8365679358020624e-4,8.23519723297373e-5,9.150219147748588e-6,1.738541638072232e-4
1985-08-01,0,9.686935846065783e-5,0,4.2270265510105235e-4,6.16441372022368e-5,0,4.755404869886839e-4
1985-09-01,0,1.1261651477875186e-4,0,2.945355001905818e-4,1.1261651477875186e-4,0,4.937801032606812e-4
1985-10-01,0,1.3545139176305036e-4,0,2.2575231960508395e-4,3.762538660084732e-5,0,3.1605324744711754e-4
1985-11-01,0,9.894735239718989e-5,0,1.9789470479437979e-4,6.850201319805455e-5,0,3.196760615909212e-4
1985-12-01,0,6.961525966491854e-5,0,1.6243560588480996e-4,8.508531736823379e-5,7.735028851657616e-6,3.094011540663047e-4
1986-01-01,0,5.806189397898159e-5,1.2902643106440354e-5,2.9030946989490797e-4,8.38671801918623e-5,6.451321553220177e-6,2.6450418368202726e-4
1986-02-01,0,8.31053706845805e-5,0,3.32421482738322e-4,9.695626579867724e-5,6.925447557048374e-6,2.562415596107898e-4
1986-03-01,0,4.257959342571077e-5,0,2.8589155585834376e-4,1.1557318215550067e-4,0,3.163055511624229e-4
1986-04-01,0,4.3097609929689326e-5,0,2.339584539040278e-4,8.003841844085161e-5,6.156801418527047e-6,3.694080851116228e-4
1986-05-01,6.072050956651629e-6,6.072050956651628e-5,0,3.703951083557493e-4,6.072050956651628e-5,6.072050956651629e-6,3.5825100644244605e-4
1986-06-01,0,2.5212573510409643e-5,0,4.5382632318737357e-4,9.454715066403615e-5,0,1.764880145728675e-4
1986-07-01,0,1.317106580264475e-4,0,3.622043095727306e-4,9.219746061851325e-5,0,2.5683578315157263e-4
1986-08-01,0,5.2133566196595675e-5,0,3.844850506998931e-4,5.2133566196595675e-5,6.516695774574459e-6,3.193180929541485e-4
1986-09-01,0,3.226181104902505e-5,0,4.1295118142752063e-4,2.580944883922004e-5,0,3.2261811049025046e-4
1986-10-01,0,4.566131858472743e-5,0,3.938288727932741e-4,5.136898340781836e-5,0,1.940606039850916e-4
1986-11-01,0,9.601536245799327e-5,0,3.1805088814210273e-4,4.800768122899664e-5,0,1.800288046087374e-4
1986-12-01,0,4.2242471788063484e-5,0,2.051777201134512e-4,1.1465813771045803e-4,6.034638826866212e-6,1.99143081286585e-4
1987-01-01,0,4.62064504204787e-5,0,2.4258386470751316e-4,2.8879031512799188e-5,0,1.848258016819148e-4
1987-02-01,0,2.3550607311286038e-5,0,4.592368425700778e-4,7.653947376167963e-5,5.8876518278215095e-6,1.5896659935118077e-4
1987-03-01,0,4.205457632642762e-5,0,2.470706359177623e-4,6.308186448964143e-5,5.256822040803453e-6,2.3130016979535192e-4
1987-04-01,0,2.1512431496350955e-5,0,2.3663674645986048e-4,9.68059417335793e-5,0,2.5814917795621145e-4
1987-05-01,0,5.1771088953085035e-6,0,4.348771472059143e-4,5.694819784839354e-5,1.0354217790617007e-5,1.656674846498721e-4
1987-06-01,0,2.7321807173613693e-5,0,5.40971782037551e-4,8.742978295556382e-5,0,2.2403881882363227e-4
1987-07-01,0,8.235833080253046e-5,0,4.01496862662336e-4,7.721093512737231e-5,5.1473956751581535e-6,2.2648540970695877e-4
1987-08-01,0,1.4216437360797384e-4,0,3.4751291326393606e-4,4.738812453599128e-5,0,2.632673585332849e-4
1987-09-01,0,4.0637397581058906e-5,0,3.5557722883426543e-4,6.603577106922072e-5,0,2.1334633730055928e-4
1987-10-01,0,9.675250226158975e-6,0,3.4830900814172307e-4,9.191487714851025e-5,0,2.4188125565397436e-4
1987-11-01,0,1.428034970989734e-4,0,2.856069941979468e-4,4.2312147288584714e-5,0,3.279191414865315e-4
1987-12-01,0,4.733080551772013e-5,0,2.3665402758860064e-4,4.207182712686233e-5,0,2.8924381149717855e-4
1988-01-01,0,5.295794176552149e-5,0,3.033045755661685e-4,6.258665845016176e-5,0,2.7441842551224774e-4
1988-02-01,0,4.4038636563811985e-5,0,3.572022743509194e-4,6.850454576592976e-5,0,1.7615454625524794e-4
1988-03-01,0,5.4153090787656704e-5,0,2.707654539382835e-4,5.4153090787656704e-5,0,1.7148478749424623e-4
1988-04-01,0,2.7749257707356328e-5,0,2.5436819565076635e-4,5.087363913015327e-5,0,1.7574529881325674e-4
1988-05-01,0,4.577455118052567e-5,0,2.700698519651015e-4,4.577455118052567e-5,0,1.830982047221027e-4
1988-06-01,0,5.062825056381461e-5,0,2.807566622175174e-4,3.221797763151839e-5,0,2.3933354811985088e-4
1988-07-01,0,3.715124270906862e-5,0,5.386930192814949e-4,6.03707694022365e-5,0,3.343611843816176e-4
1988-08-01,0,2.2682629188914546e-5,0,2.8126460194254034e-4,5.443831005339491e-5,0,2.6765502442919163e-4
1988-09-01,0,3.055500993037823e-5,4.365001418625461e-6,2.357100766057749e-4,1.0912503546563653e-4,4.365001418625461e-6,4.5396014753704795e-4
1988-10-01,0,8.89466053528067e-6,0,2.4460316472021845e-4,6.226262374696469e-5,0,2.890764673966218e-4
1988-11-01,0,6.702203237610978e-5,0,2.904288069631424e-4,1.2063965827699759e-4,0,1.7425728417788542e-4
1988-12-01,0,3.2309879437992724e-5,0,2.123220648782379e-4,7.846685006369662e-5,9.23139412514078e-6,2.4463194431623066e-4
1989-01-01,0,1.9624851341751087e-5,0,2.8652282958956587e-4,7.064946483030391e-5,0,2.276482755643126e-4
1989-02-01,0,3.2942687958623985e-5,0,2.017739637465719e-4,7.000321191207597e-5,0,2.223631437207119e-4
1989-03-01,0,1.4396464228385509e-5,0,2.375416597683609e-4,1.2956817805546958e-4,0,3.347177933099631e-4
1989-04-01,0,3.33044694598015e-5,0,2.66435755678412e-4,5.180695249302456e-5,0,3.6634916405781657e-4
1989-05-01,0,3.2468352375420734e-5,0,2.6696200842012607e-4,7.93670835843618e-5,0,2.8860757667040655e-4
1989-06-01,0,2.5964102773337093e-5,0,3.7462491144386374e-4,8.901978093715574e-5,0,2.7076850035051537e-4
1989-07-01,0,3.786372844133962e-5,0,2.4232786202457355e-4,1.4388216807709056e-4,0,2.9155070899831504e-4
1989-08-01,0,6.671460234390636e-5,0,3.298666449226481e-4,1.8531833984418433e-4,0,3.5210484570395023e-4
1989-09-01,0,2.573141548516584e-5,0,2.683419043453009e-4,1.0660157843854419e-4,3.675916497880834e-6,3.6391573329020257e-4
1989-10-01,0,2.0574085567621876e-5,0,2.3660198402765157e-4,1.371605704508125e-4,3.4290142612703124e-6,3.8404959726227503e-4
1989-11-01,0,3.834048441459308e-5,0,2.4747039940328265e-4,1.7078943057409647e-4,3.485498583144826e-6,3.485498583144826e-4
1989-12-01,0,4.050834287734442e-5,0,2.6882809364055845e-4,1.1047729875639387e-4,0,2.872409767666241e-4
1990-01-01,0,1.663793849286898e-5,0,1.9632767421585396e-4,4.192760500202983e-4,9.982763095721388e-6,3.793449976374127e-4
1990-02-01,0,2.1290185224611454e-5,0,2.8741750053225463e-4,1.6677311759278972e-4,0,2.5903058689943936e-4
1990-03-01,0,4.2955062867802725e-05,0,2.7000325231190287e-4,1.8102490780002578e-4,3.068218776271623e-6,3.467087217186934e-4
